brand_name,food_category,total_stores,attendance_fee,corp_name,corp_address,corp_type,corp_capital,corp_reg_date,corp_location
萨乐士,披萨,80,1万以下,天创食缘国际文化传播有限公司,,,,,
斗牛士牛排,西餐,30,10~20万,上海斗牛士牛排馆有限公司上海市,,,,,
kjs汉堡王,汉堡,200,10~20万,东莞市凤岗伽椰公司,广东省东莞,股份有限公司,600,,广东省东莞市厚街镇富
金太子牛排,西餐,35,20~50万,温州金太子餐饮有限公司,,,,,
江户左岸,日本料理,900,20~50万,济南源动力集团,山东省济南,股份有限公司,1000,,济南市市中区济微路3
萱美特西餐厅,西餐,40,20~50万,意大利萱美特集团餐饮有限公司,河南省信阳,国有企业,980,2003-01-01,河南省信阳市
整骨专,餐饮,100,10~20万,天粮集团,,,,,
米其林法式料理,四道式美食套餐 ,100,1~5万,米其林餐饮管理有限公司,北京市,股份有限公司,300,,北京市海淀区紫竹院路
洛克汉堡加盟,餐饮,10,10~20万,青岛洛克华莱士餐饮管理有限公司,山东省青岛,有限责任公司,500,2011-09-19,山东省青岛市市南区
金尚餐饮,,15,1万以下,南京金尚餐饮管理有限公司,江苏省南京,其它,15,,南京市栖霞区迈皋桥长
品奇披萨,披萨,600,10~20万,美诺国际集团,北京市,股份有限公司,1000,,中国北京市西城区北礼
山东冠一集团,一般经营项目，餐,3000,1~5万,济南瑞鱻餐饮技术有限公司,山东省,有限责任公司,3000,2013-04-27,山东省济南市章丘市
麦嘉基,"麦嘉基,汉堡",289,1~5万,麦嘉基食品有限公司,福建省福州,国有企业,1000,,福建省福州市台江区五
凯客迪蒽,蛋糕 面包,100,10~20万,苏州凯客迪蒽餐饮管理咨询有限公,江苏省苏州,股份有限公司,400,,苏州相城大道168号
拉丝维斯披萨,西餐,5000,5~10万,上海速洁餐饮管理有限公司,上海市,有限责任公司,1000,2005-06-24,上海市普陀区真南路1
鲜之语面包,"面包加盟,蛋糕加",80,5~10万,鲜之语面包,北京市,私营企业,100,2004-11-20,北京市丰台区莲花池南
韩尚轩,料理,300,20~50万,上海会会餐饮管理有限公司,上海市,股份有限公司,600,,上海市徐汇区钦州路8
多美丽,西餐,200,10~20万,广州多美丽饮食管理有限公司,,,,,
广州酒店用品展览会,酒店用品展览会，,15000,1万以下,广东佛兴展览服务有限公司,广东省广州,集体企业,50,1999-12-01,广东省广州市越秀区达
拉亚汉堡,汉堡,100,10~20万,拉亚汉堡,天津市,有限责任公司,300,2002-01-01,天津市
260℃快时尚餐厅,西餐,14,10~20万,杭州醇牛餐饮管理有限公司,浙江省温州,有限责任公司,500,2010-10-01,浙江省温州市
美乐滋汉堡,美乐滋汉堡,500,10~20万,源动力集团,北京市,股份有限公司,10000,2001-08-08,北京市
百多堡,西餐,20,20~50万,百多堡餐饮管理总部,,,,,
拉丁餐厅,烤肉,300,5~10万,广州拉丁餐厅有限公司,广东省广州,股份有限公司,600,,广州市天河区东莞庄路
雪冰,咖啡，雪冰，生煎,30,1~5万,上海在京餐饮管理有限公司,上海市,合资经营企业(港、澳、台资),5000,2013-08-01,上海市松江区九亭镇涞
莎茵屋牛排杯,餐饮,2000,1~5万,济南九洲隆泰酒店管理有限公司,山东省,有限责任公司,200,2006-08-08,山东省济南市章丘市明
汤姆大叔快餐,美式快餐,100,10~20万,汤姆大叔美式快餐连锁(中国)总,,,,,
莎啦啦健康餐,沙拉便当系列,32,1~5万,武汉莎啦啦餐饮管理有限公司,湖北省武汉,有限责任公司,100,2016-03-25,湖北省武汉市洪山区
佐客牛排,西餐,35,10~20万,北京金奥恒丰国际餐饮管理有限公,,,,,
Lilliput粒粒堡亲子餐厅,餐饮,20,20~50万,Lilliput粒粒堡亲子餐厅,北京市,私营企业,100,2016-01-01,北京市
卢布里,俄式西餐,20,50~100万,满洲里卢布里西餐厅,,,,,
豪佳香,西餐,100,10~20万,豪佳香,福建省厦门,股份有限公司,1000,2003-01-01,福建省厦门市
喜哒哒披萨,餐饮,100,1~5万,成都佰盛餐饮管理有限公司,四川省成都,有限责任公司,100,2016-08-03,四川省成都市青羊区顺
麦约翰披萨,披萨,126,10~20万,广州市未来餐饮管理服务有限公司,广东省广州,股份有限公司,300,2011-03-22,广东省广州市
美特韩国自助烧烤,韩国烤肉,100,1~5万,韩尚商务有限公司,海南省海口,股份有限公司,500,,海南省海口市金龙路1
玛丽优客比萨,披萨、牛排,100,10~20万,天创食缘国际餐饮管理有限公司,北京市,股份有限公司,300,,北京市海淀区莲花池东
美汁堡,餐饮加盟,1000,1~5万,济南大唐脸谱餐饮集团,山东省,私营企业,100,2005-10-04,山东省济南市天桥区
弗兰哥西餐,弗兰哥金牌比萨,200,1~5万,秦皇岛樸石餐饮管理有限公司,河北省石庄,股份有限公司,400,,中国·秦皇岛·海港区
Punkbar庞客餐吧,"音乐餐吧加盟,音",20,5~10万,韩舍餐饮管理有限公司,广东省,有限责任公司,100,2012-04-22,广东省广州市海珠区琶
功夫鸡排,特色小吃,3118,1~5万,明哲餐饮加盟有限公司,北京市,私营企业,100,2009-04-02,北京市通州区万达广场
俩小仔,西餐,25,5~10万,俩小仔餐饮管理有限公司,,,,,
莫利牛排,莫利牛排,15,20~50万,莱璺纳（天津）酒店管理有限公司,天津市,外商投资企业,200,2010-01-18,天津市
宾go101牛排,西餐,30,10~20万,成都市锦江区壹零壹牛排公司,,,,,
麦瑞克比萨,西餐,62,10~20万,博品源国际餐饮管理（北京）有限,,,,,
左右时光咖啡西餐厅,西餐,25,10~20万,天创食缘国际餐饮管理(西安)有,,,,,
俏客来汉堡,奶茶汉堡加盟，冰,300,1万以下,河南海川餐饮管理有限公司,河南省,有限责任公司,100,2010-09-14,河南省郑州市管城区西
迪恩咖啡,咖啡、奶茶,10,5~10万,新思域咖啡餐饮管理顾问有限公司,,,,,
红屋牛排,牛排、简餐、咖啡,60,20~50万,青岛红屋食品有限公司,山东省,合资经营企业(港、澳、台资),100,1998-01-12,山东省青岛市市南区香
美克士,,50,1~5万,美克士（中国）餐饮管理有限公司,浙江省绍兴,股份有限公司,100,2005-01-01,浙江省绍兴新昌人民东
叫板披萨,西餐,156,10~20万,北京拓荒者餐饮有限公司,北京市,股份有限公司,1563,2010-09-28,北京市丰台区
银格顿牛排,牛排,50,10~20万,银格顿牛排,重庆市,有限责任公司,500,2010-01-01,重庆市
捷佳咖啡,西餐,25,10~20万,南宁捷佳咖啡有限责任公司,,,,,
